r_0_ch_0 1.11764 0.41231 1.83205
r_0_ch_1 4.84314175e-01 1.09044447e-02 3.24785765e-03
r_0_ch_2 6.78916657e-03 5.99757898e-01 8.68789076e-04
r_0_ch_3 3.36851075e-06 2.93279815e-05 5.78949994e-01
r_0_ch_4 8.12372732e-07 2.92902895e-05 5.78943941e-01
r_0_ch_5 3.88569157e-07 4.04397987e-06 1.38715656e-01
r_0_ch_6 5.77268552e-07 1.38585510e-06 1.15784661e-01
r_0_ch_7 5.13708589e-07 1.41816191e-06 1.15785065e-01
r_0_ch_8 7.34814405e-07 2.96618894e-06 2.32508808e-01
r_0_ch_9 5.13164872e-07 2.97588906e-06 2.32507861e-01
r_0_ch_10 2.07723963e-01 7.50891361e-02 6.27981326e-06
r_0_ch_11 2.25672636e-01 7.75874715e-02 5.57141094e-06
r_0_ch_12 5.09234493e-05 7.10047030e-02 2.15894965e-06
r_0_ch_13 1.80946898e-02 2.29253222e-01 1.17056238e-05
r_0_ch_14 1.80012995e-02 2.29253335e-01 1.17061032e-05
r_0_ch_15 1.64150531e-01 9.37861504e-02 3.12147191e-06
r_0_ch_16 2.00433353e-01 1.11598644e-01 3.76694949e-06
r_0_ch_17 1.65369086e-01 9.16318501e-02 3.07929667e-06
r_0_ch_18 1.99430182e-01 1.13376728e-01 3.88377829e-06
r_0_ch_19 2.92264533e-06 1.37401985e-06 2.32247480e-01
r_0_ch_20 3.03492855e-06 1.26685368e-06 2.32256114e-01
r_0_ch_21 1.02805364e-06 1.29223037e-06 1.10574267e-01
r_0_ch_22 1.03895793e-06 1.26992452e-06 1.10574238e-01
r_0_ch_23 5.98429857e-02 3.65409375e-02 2.80482742e-06
r_0_ch_24 5.99707460e-02 3.65983081e-02 2.79573845e-06
r_0_ch_25 9.46168415e-08 1.56168903e-06 1.05484031e-01
r_0_ch_26 4.03643607e-02 2.58817950e-05 1.91640075e-06
r_0_ch_27 1.82269494e-06 2.36246138e-06 8.50049668e-02
r_0_ch_28 2.00911729e-06 2.36682156e-06 8.50044636e-02
r_0_ch_29 3.34804737e-06 3.60419738e-07 8.87234769e-02
r_0_ch_30 4.40137043e-02 3.77277533e-02 1.77278102e-06
r_0_ch_31 4.40240683e-02 3.76975674e-02 1.70668294e-06
r_0_ch_32 2.67646618e-02 9.34412784e-02 1.28423655e-06
r_0_ch_33 2.67592775e-02 9.34493809e-02 1.22336338e-06
r_0_ch_34 6.07032612e-02 4.19741598e-02 1.01299546e-06
r_0_ch_35 6.24802789e-02 4.57189079e-02 9.39145184e-07
r_0_ch_36 6.19468995e-02 8.41560416e-02 1.58137356e-07
r_0_ch_37 6.19470914e-02 8.41543245e-02 1.62758162e-07
r_0_ch_38 2.79625332e-02 5.08219427e-02 3.83716833e-07
r_0_ch_39 2.79748398e-02 5.08534606e-02 3.97824219e-07
r_0_ch_40 4.24602613e-02 6.03406099e-02 1.37858173e-07
r_0_ch_41 7.56583006e-02 1.53432718e-01 5.28466867e-07
r_0_ch_42 4.28784902e-02 6.10424183e-02 1.77505239e-07
r_0_ch_43 7.55221116e-02 1.53173886e-01 5.12006582e-07
r_0_ch_44 5.10618622e-02 3.06713228e-02 1.44314540e-07
r_0_ch_45 5.10729690e-02 3.06342639e-02 1.54595843e-07
r_0_ch_46 9.00020276e-02 6.62612012e-02 2.29282854e-06
r_0_ch_47 8.99830505e-02 6.61929868e-02 2.28043002e-06
r_0_ch_48 4.03768438e-02 3.65437857e-05 3.28350340e-08
r_0_ch_49 7.11743506e-02 7.95220303e-02 1.43186286e-06
r_0_ch_50 7.09776115e-02 7.84907667e-02 1.44355201e-06
r_0_ch_51 7.38741900e-04 1.27182373e-01 1.71320317e-06
r_0_ch_52 1.44925444e-01 4.15504807e-02 3.96474901e-07
r_0_ch_53 1.44756598e-01 4.13815273e-02 3.98594054e-07
r_0_ch_54 1.70958632e-01 8.72672957e-02 9.52244628e-07
r_0_ch_55 2.29038043e-02 4.51847044e-02 2.59910042e-07
r_0_ch_56 1.77026071e-01 8.96802359e-02 9.99166150e-07
r_0_ch_57 2.30442650e-02 4.51234657e-02 2.57730710e-07
r_0_ch_58 4.44631477e-02 6.84548385e-02 2.31506924e-07
r_0_ch_59 4.45123542e-02 6.84298667e-02 2.33740647e-07
r_0_ch_60 4.38354219e-02 7.73647564e-02 5.22192639e-07
r_0_ch_61 4.38471059e-02 7.73345902e-02 5.16844181e-07
r_0_ch_62 4.18269056e-05 6.58257493e-02 3.35864020e-07
r_0_ch_63 4.88845521e-02 3.54492110e-02 1.08610570e-07
r_0_ch_64 4.88380140e-02 3.54149283e-02 1.17842798e-07
r_0_ch_65 1.08157245e-01 1.73757902e-03 6.14881874e-08
r_0_ch_66 1.02185428e-01 6.36673576e-05 1.18877720e-07
